time:1742725693.5973644; distance: 0.6274206590327759
time:1742725693.6175632; distance: 0.6274206590327759
time:1742725695.7373226; distance: 0.6311163687720769
time:1742725697.6974397; distance: 0.6311163687720769
time:1742725697.7181973; distance: 0.6311163687720769
time:1742725704.2374058; distance: 0.6274206590327759
time:1742725704.2575355; distance: 0.6274206590327759
time:1742725706.7376206; distance: 0.6311163687720769
time:1742725706.761676; distance: 0.6311163687720769
time:1742725706.7773726; distance: 0.6311163687720769
time:1742725707.9773657; distance: 0.6311163687720769
time:1742725708.9774234; distance: 0.6311163687720769
time:1742725708.9974108; distance: 0.6311163687720769
time:1742725709.017671; distance: 0.6311163687720769
time:1742725713.0973566; distance: 0.6311163687720769
time:1742725713.1174107; distance: 0.6311163687720769
time:1742725713.1373835; distance: 0.6311163687720769
time:1742725715.258146; distance: 0.6311163687720769
time:1742725715.2773874; distance: 0.6311163687720769
time:1742725717.5973775; distance: 0.6274206590327759
time:1742725717.6194022; distance: 0.6274206590327759
time:1742725724.5973964; distance: 0.6274206590327759
time:1742725724.6175044; distance: 0.6274206590327759
time:1742725724.6374207; distance: 0.6274206590327759
time:1742725727.8574064; distance: 0.6274206590327759
time:1742725727.87746; distance: 0.6274206590327759
time:1742725732.0974386; distance: 0.6274206590327759
time:1742725732.1175828; distance: 0.6274206590327759
time:1742725736.597372; distance: 0.6311163687720769
time:1742725736.6174169; distance: 0.6311163687720769
time:1742725738.2375364; distance: 0.6274206590327759
time:1742725738.2574205; distance: 0.6274206590327759
time:1742725740.0974195; distance: 0.6274206590327759
time:1742725740.1224253; distance: 0.6274206590327759
time:1742725740.141627; distance: 0.6274206590327759
time:1742725740.5974271; distance: 0.6274206590327759
time:1742725740.6180027; distance: 0.6274206590327759
time:1742725740.6397896; distance: 0.6274206590327759
time:1742725741.957458; distance: 0.6311163687720769
time:1742725741.9774222; distance: 0.6311163687720769
time:1742725744.4973803; distance: 0.6274206590327759
time:1742725744.527914; distance: 0.6274206590327759
time:1742725744.537438; distance: 0.6274206590327759
time:1742725756.237356; distance: 0.6311163687720769
time:1742725756.2574773; distance: 0.6311163687720769
time:1742725756.2776911; distance: 0.6311163687720769
time:1742725758.597333; distance: 0.6311163687720769
time:1742725758.6174948; distance: 0.6311163687720769
time:1742725758.6386425; distance: 0.6311163687720769
time:1742725762.5975401; distance: 0.6311163687720769
time:1742725762.6181633; distance: 0.6311163687720769
time:1742725762.6374922; distance: 0.6311163687720769
time:1742725765.2574003; distance: 0.6274206590327759
time:1742725765.2773879; distance: 0.6274206590327759
time:1742725765.2974722; distance: 0.6274206590327759
time:1742725765.3175068; distance: 0.6274206590327759
time:1742725766.5973701; distance: 0.6274206590327759
time:1742725766.6174967; distance: 0.6274206590327759
time:1742725766.6376185; distance: 0.6274206590327759
time:1742725770.0973468; distance: 0.6274206590327759
time:1742725770.117441; distance: 0.6274206590327759
time:1742725787.5973902; distance: 0.6274206590327759
time:1742725787.6177847; distance: 0.6274206590327759
time:1742725788.2573714; distance: 0.6311163687720769
time:1742725788.2781048; distance: 0.6311163687720769
time:1742725789.0973592; distance: 0.6274206590327759
time:1742725789.1239572; distance: 0.6274206590327759
time:1742725789.137386; distance: 0.6274206590327759
time:1742725791.9573662; distance: 0.6274206590327759
time:1742725791.977463; distance: 0.6274206590327759
time:1742725792.5976968; distance: 0.6274206590327759
time:1742725792.6177306; distance: 0.6274206590327759
time:1742725794.2774312; distance: 0.6274206590327759
time:1742725796.0973883; distance: 0.6311163687720769
time:1742725796.117513; distance: 0.6311163687720769
time:1742725797.0973804; distance: 0.6311163687720769
time:1742725797.1173644; distance: 0.6311163687720769
time:1742725797.8573408; distance: 0.6311163687720769
time:1742725797.8774216; distance: 0.6311163687720769
time:1742725799.597346; distance: 0.6311163687720769
time:1742725799.617738; distance: 0.6311163687720769
time:1742725802.337348; distance: 0.6274206590327759
time:1742725802.3575547; distance: 0.6274206590327759
time:1742725806.0975585; distance: 0.6274206590327759
time:1742725806.11764; distance: 0.6274206590327759
time:1742725806.1373954; distance: 0.6274206590327759
time:1742725806.8375022; distance: 0.6274206590327759
time:1742725809.0973918; distance: 0.6274206590327759
time:1742725809.1174445; distance: 0.6274206590327759
time:1742725815.0977495; distance: 0.6311163687720769
time:1742725815.1228864; distance: 0.6311163687720769
time:1742725816.8374097; distance: 0.6274206590327759
time:1742725829.737434; distance: 0.6274206590327759
time:1742725829.7581873; distance: 0.6274206590327759
time:1742725829.7774293; distance: 0.6274206590327759
time:1742725831.2573338; distance: 0.6274206590327759
time:1742725831.2773864; distance: 0.6274206590327759
time:1742725835.097632; distance: 0.6274206590327759
time:1742725835.1173887; distance: 0.6274206590327759
time:1742725840.2574456; distance: 0.6274206590327759
time:1742725840.2773666; distance: 0.6274206590327759
time:1742725847.5973608; distance: 0.6274206590327759
time:1742725847.6175592; distance: 0.6274206590327759
time:1742725850.9773772; distance: 0.6274206590327759
time:1742725850.9974072; distance: 0.6274206590327759
time:1742725851.0174434; distance: 0.6274206590327759
time:1742725853.5974095; distance: 0.6274206590327759
time:1742725853.6176066; distance: 0.6274206590327759
time:1742725861.0974362; distance: 0.6274206590327759
time:1742725861.1174614; distance: 0.6274206590327759
time:1742725861.1376138; distance: 0.6274206590327759
time:1742725865.4573543; distance: 0.6274206590327759
time:1742725865.4774654; distance: 0.6274206590327759
time:1742725865.957414; distance: 0.6274206590327759
time:1742725865.9773755; distance: 0.6274206590327759
time:1742725865.997454; distance: 0.6274206590327759
time:1742725866.017526; distance: 0.6274206590327759
time:1742725868.0974343; distance: 0.6274206590327759
time:1742725868.1177933; distance: 0.6274206590327759
time:1742725868.1381438; distance: 0.6274206590327759
time:1742725887.5973365; distance: 0.6274206590327759
time:1742725887.6177542; distance: 0.6274206590327759
time:1742725889.0974734; distance: 0.6311163687720769
time:1742725889.1212513; distance: 0.6311163687720769
time:1742725896.9573684; distance: 0.6311163687720769
time:1742725896.9773571; distance: 0.6311163687720769
time:1742725896.9973695; distance: 0.6311163687720769
time:1742725897.0174806; distance: 0.6311163687720769
time:1742725899.2373905; distance: 0.6274206590327759
time:1742725899.2574112; distance: 0.6274206590327759
time:1742725899.2779927; distance: 0.6274206590327759
time:1742725903.2773561; distance: 0.6311163687720769
time:1742725904.457408; distance: 0.6149551081625134
time:1742725904.4774673; distance: 0.6149551081625134
time:1742725908.597418; distance: 0.6274206590327759
time:1742725908.6175885; distance: 0.6274206590327759
time:1742725909.0973613; distance: 0.6274206590327759
time:1742725909.1175523; distance: 0.6274206590327759
time:1742725910.5973985; distance: 0.6311163687720769
time:1742725910.618734; distance: 0.6311163687720769
time:1742725912.2373354; distance: 0.6311163687720769
time:1742725912.2573993; distance: 0.6311163687720769
time:1742725912.2776005; distance: 0.6311163687720769
time:1742725912.4573162; distance: 0.6311163687720769
time:1742725912.4773998; distance: 0.6311163687720769
time:1742725912.4973795; distance: 0.6311163687720769
time:1742725912.51741; distance: 0.6311163687720769
time:1742725919.6014085; distance: 0.6274206590327759
time:1742725919.6176183; distance: 0.6274206590327759
time:1742725919.6396227; distance: 0.6274206590327759
time:1742725919.9573612; distance: 0.6274206590327759
time:1742725919.9786346; distance: 0.6274206590327759
time:1742725919.997489; distance: 0.6274206590327759
time:1742725920.0174212; distance: 0.6274206590327759
time:1742725921.4573278; distance: 0.6274206590327759
